순위,곡명,가수,앨범
88,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM),쇼미더머니 9 Episode 1
89,목로주점,임영웅,사랑의 콜센타 PART50
90,Leave The Door Open,Bruno Mars & Anderson .Paak & Silk Sonic,Skate
91,전쟁터 (With 이선희),AKMU (악뮤),NEXT EPISODE
92,Memories,Maroon 5,Memories
93,고백,장범준,첫 번째 '고백'
94,벌써 일년 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)
95,parachute,John K,love ＋ everything else
96,제자리 걸음,V.O.S,제자리 걸음
97,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
98,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11 (tvN 목요드라마)
99,Dance Monkey,Tones And I,The Kids Are Coming
100,너무 보고싶어,전상근,너무 보고싶어 (너에게 하고 싶은 말 X 전상근)
101,허리춤,오반 (OVAN),허리춤
102,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA
103,Don't Start Now,Dua Lipa,Future Nostalgia
104,DNA,방탄소년단,LOVE YOURSELF 承 'Her'
105,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
106,다시 사랑할 수 있을까,백지영 & 이홍기 (FT아일랜드),다시 사랑할 수 있을까
107,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
108,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
109,IDOL,방탄소년단,LOVE YOURSELF 結 'Answer'
110,Pose,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
111,너에게,유연석,슬기로운 의사생활 시즌2 OST Part 7 (tvN 목요드라마)
112,Knock On Wood,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
113,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
114,Rainy day (Feat. ASH ISLAND & Skinny Brown),PATEKO (파테코),Rainy day
115,Tiny Riot,Sam Ryder,Tiny Riot
116,Way Back Home,숀 (SHAUN),Take
117,Bad,Christopher,Under the Surface
118,On The Ground,로제 (ROSE),R
119,Shape Of You,Ed Sheeran,÷ (Deluxe)
120,우린 어쩌다 헤어진 걸까,허각,Hello
121,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
122,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
123,사이렌,호미들,Ghetto Kids
124,THRILL RIDE,더보이즈 (THE BOYZ),THE BOYZ 6TH MINI ALBUM ［THRILL-ING］
125,Bad Boy,청하 & Christopher,Bad Boy
126,밤편지,아이유 (IU),밤편지
127,마.피.아. In the morning,ITZY (있지),GUESS WHO
128,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
129,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 'Tear'
130,만개 (Prod. 신지후),김호중,우리家
131,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
132,You can't sit with us,선미,6분의1
133,Ashes,Stellar,Ashes
134,그냥 안아달란 말야,다비치,그냥 안아달란 말야
135,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
136,내사람 : Partner For Life,SG워너비,The 3rd Masterpiece
137,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
138,사실 나는 (Feat. 전건호),경서예지,사실 나는
139,어떻게 지내 (Prod. by VAN.C),오반 (OVAN),어떻게 지내
140,째깍 째깍 째깍 (With Beenzino),AKMU (악뮤),NEXT EPISODE
141,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
142,난 너를 사랑해,MSG워너비,난 너를 사랑해
143,나보다 더 사랑해요,김호중,나보다 더 사랑해요
144,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
145,Leave Before You Love Me,Marshmello & Jonas Brothers,Leave Before You Love Me
146,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
147,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
148,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
149,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
150,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
151,Maniac,Conan Gray,Maniac
152,주저하는 연인들을 위해,잔나비,전설
153,How You Like That,BLACKPINK,How You Like That
154,Painkiller,Ruel,Painkiller
155,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)
156,다시 여기 바닷가,싹쓰리 (유두래곤 & 린다G & 비룡),다시 여기 바닷가
157,불타오르네 (FIRE),방탄소년단,화양연화 Young Forever
158,너를 만나,폴킴,너를 만나
159,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
160,고맙소,김호중,내일은 미스터트롯 결승전 베스트
161,체념,MSG워너비 (정상동기),MSG워너비 TOP 8 경연곡
162,Comethru,Jeremy Zucker,"Summer,"
163,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
164,All Falls Down (Feat. Juliander),Alan Walker & Noah Cyrus & Digital Farm Animals,Different World
165,살았소,김호중,살았소
166,Stuck With U,Ariana Grande & Justin Bieber,Stuck with U
167,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4 (tvN 목요드라마)
168,Black Mamba,aespa,Black Mamba
169,첫눈처럼 너에게 가겠다,에일리 (AILEE),도깨비 OST Part 9 (tvN 금토드라마)
170,Way Back Home (2021),런치,Way Back Home (2021)
171,Love poem,아이유 (IU),Love poem
172,On My Way,Alan Walker & Sabrina Carpenter & Farruko,On My Way
173,BENCH (With Zion.T),AKMU (악뮤),NEXT EPISODE
174,아무노래,지코 (ZICO),아무노래
175,Better Be,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
176,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
177,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈))
178,살다가,SG워너비,2집 살다가
179,Pushin' N Pullin',Red Velvet (레드벨벳),Queendom - The 6th Mini Album
180,안녕 나의 사랑,성시경,여기 내 맘속에
181,Dance The Night Away,TWICE (트와이스),Summer Nights
182,할무니,김호중,할무니
183,우산이 없어요,김호중,우리家
184,"다시, 여름 (Hello, Sunset)",Red Velvet (레드벨벳),Queendom - The 6th Mini Album
185,And July (Feat. DEAN & DJ Friz),헤이즈 (Heize),And July
186,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP
187,WE GO,프로미스나인,9 WAY TICKET
188,해야 해,2PM,MUST
189,술 한잔 해요,경서 (경서예지) & MJ (써니사이드),술 한잔 해요
190,Mood (Feat. Iann Dior),24KGoldn,El Dorado
191,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12 (tvN 목요드라마)
192,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,시차 (We Are)
193,여름 쏙 (Popping),온앤오프 (ONF),SUMMER POPUP ALBUM (POPPING)
194,아무도 잠들지 마라 (Nessun Dorma),김호중,The Classic Album
195,Downtown Baby,블루 (BLOO),Downtown Baby
196,둘 중에 골라 (Summer or Summer),효린 & 다솜,둘 중에 골라 (Summer or Summer)
197,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album '광화문에서 (At Gwanghwamun)'
198,노래방에서,장범준,장범준 3집
199,Rose,디오 (D.O.),공감 - The 1st Mini Album
200,여행,볼빨간사춘기,Red Diary Page.2
